Epoch: 327, Train Acc: 56.759868, Val Acc: 55.033333
Epoch: 328, Train Acc: 56.722039, Val Acc: 54.986667
Epoch: 329, Train Acc: 56.751645, Val Acc: 55.060000
Epoch: 330, Train Acc: 56.730263, Val Acc: 55.020000
Epoch: 331, Train Acc: 56.750822, Val Acc: 55.026667
Epoch: 332, Train Acc: 56.768914, Val Acc: 55.046667
Epoch: 333, Train Acc: 56.724507, Val Acc: 54.973333
Epoch: 334, Train Acc: 56.750822, Val Acc: 55.046667
Epoch: 335, Train Acc: 56.776316, Val Acc: 55.066667
Epoch: 336, Train Acc: 56.753289, Val Acc: 55.046667
Epoch: 337, Train Acc: 56.793586, Val Acc: 55.073333
Epoch: 338, Train Acc: 56.774671, Val Acc: 55.066667
Epoch: 339, Train Acc: 56.757401, Val Acc: 55.040000
Epoch: 340, Train Acc: 56.808388, Val Acc: 55.060000
Epoch: 341, Train Acc: 56.774671, Val Acc: 55.006667
Epoch: 342, Train Acc: 56.777961, Val Acc: 55.046667
Epoch: 343, Train Acc: 56.754934, Val Acc: 55.040000
Epoch: 344, Train Acc: 56.779605, Val Acc: 55.006667
Epoch: 345, Train Acc: 56.789474, Val Acc: 55.020000
Epoch: 346, Train Acc: 56.812500, Val Acc: 55.040000
Epoch: 347, Train Acc: 56.805921, Val Acc: 55.020000
Epoch: 348, Train Acc: 56.810855, Val Acc: 55.026667
Epoch: 349, Train Acc: 56.796053, Val Acc: 55.013333
Epoch: 350, Train Acc: 56.812500, Val Acc: 55.080000
