                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.0338,                0.47148,                  1.188,                0.90523,                0.88309,                 0.9482,                0.65316,                 1.1569,                0.50586,                 1.4063,             0.00050944,             0.00050944,             0.00050944
                    132,                 1.0297,                0.47083,                 1.1885,                0.90971,                0.88134,                0.95043,                0.65563,                 1.1504,                0.49977,                 1.4015,             0.00050236,             0.00050236,             0.00050236
                    133,                 1.0163,                0.46553,                 1.1806,                0.91486,                 0.8756,                 0.9509,                 0.6572,                 1.1528,                0.49959,                 1.4021,             0.00049529,             0.00049529,             0.00049529
                    134,                 1.0212,                0.46834,                 1.1809,                0.91326,                0.87536,                0.95029,                0.66018,                 1.1478,                0.49669,                 1.3963,             0.00048822,             0.00048822,             0.00048822
                    135,                 1.0237,                0.46994,                 1.1861,                0.90727,                0.88226,                0.95033,                0.65672,                 1.1534,                 0.4972,                  1.401,             0.00048114,             0.00048114,             0.00048114
                    136,                 1.0085,                0.46748,                 1.1803,                0.90722,                0.88103,                0.94983,                0.65568,                 1.1542,                0.50318,                 1.4028,             0.00047407,             0.00047407,             0.00047407
                    137,                 1.0158,                 0.4649,                 1.1771,                0.91038,                0.88062,                0.94968,                0.65726,                 1.1561,                0.50296,                 1.4092,               0.000467,               0.000467,               0.000467
                    138,                 1.0115,                0.46425,                 1.1853,                0.90307,                0.87761,                0.94569,                0.65384,                 1.1588,                 0.5066,                 1.4093,             0.00045992,             0.00045992,             0.00045992
                    139,                 1.0038,                0.46378,                 1.1704,                0.90522,                0.88403,                0.94833,                0.65627,                 1.1538,                0.49978,                 1.4085,             0.00045285,             0.00045285,             0.00045285
                    140,                   1.01,                0.46191,                 1.1769,                0.91225,                0.87529,                  0.949,                0.65388,                 1.1595,                0.49829,                 1.4074,             0.00044578,             0.00044578,             0.00044578
                    141,                 1.0048,                0.46095,                 1.1735,                0.90351,                0.88482,                0.95046,                0.65592,                 1.1584,                0.49669,                 1.4074,              0.0004387,              0.0004387,              0.0004387
                    142,                 1.0049,                0.46013,                 1.1765,                0.90761,                   0.88,                0.94791,                0.65289,                 1.1631,                0.50857,                 1.4169,             0.00043163,             0.00043163,             0.00043163
                    143,                0.99594,                0.45537,                 1.1693,                0.90951,                0.87879,                0.94904,                0.65536,                 1.1596,                0.50234,                 1.4158,             0.00042456,             0.00042456,             0.00042456
                    144,                0.99489,                0.45196,                 1.1573,                0.90557,                 0.8797,                 0.9478,                0.65384,                 1.1553,                0.50596,                 1.4151,             0.00041748,             0.00041748,             0.00041748
                    145,                0.99604,                0.45533,                 1.1611,                0.90554,                0.88243,                0.94864,                0.65579,                 1.1559,                0.50129,                 1.4122,             0.00041041,             0.00041041,             0.00041041
                    146,                 0.9923,                0.45545,                 1.1636,                0.90214,                0.88064,                0.94679,                0.65345,                 1.1605,                0.50835,                 1.4159,             0.00040334,             0.00040334,             0.00040334
                    147,                0.99166,                0.45308,                 1.1727,                0.91008,                0.87796,                0.94927,                0.65647,                  1.158,                0.49894,                 1.4106,             0.00039626,             0.00039626,             0.00039626
                    148,                0.98741,                0.45224,                 1.1648,                 0.9111,                0.87509,                0.94808,                0.65297,                 1.1654,                0.50608,                 1.4204,             0.00038919,             0.00038919,             0.00038919
                    149,                0.97872,                0.44711,                  1.168,                0.89936,                0.88789,                0.94819,                0.65502,                 1.1634,                0.49911,                 1.4198,             0.00038211,             0.00038211,             0.00038211
                    150,                0.97966,                0.44538,                 1.1524,                0.90204,                0.88574,                0.94817,                0.65416,                 1.1611,                 0.5007,                 1.4185,             0.00037504,             0.00037504,             0.00037504
